ref,qty,value,manufacturer,mpn,footprint,unit_price_eur,line_total_eur,supplier,required,reason
M1,1,ESP32-C6 Feather,Adafruit,5933,"Feather 0.1in headers, 50.8 x 22.9 mm",22.00,22.00,Adafruit / Mouser / Digi-Key / Berrybase,required,"ESP32-C6-MINI-1 (4 MB flash, 512 kB SRAM) with native 802.15.4 for Thread, USB-C, MCP73831 LiPo charger (R_PROG 5.1k -> ~196 mA), RT9080/AP2112 3V3 LDO and a MAX17048 fuel gauge already on board. Removes the three highest-risk blocks (charger, fuel gauge, USB-C) from the DIY build. NOTE, from Adafruit's own schematic: the board's I2C pull-ups (R3, 10k) and its WS2812B sit on VSENSOR, the second LDO switched by GPIO20. See EDR-11."
U1,1,SPS30,Sensirion,SPS30,"41.2 x 41.2 x 12.2 mm module, JST ZHR-5 (1.5 mm)",38.00,38.00,Mouser / Digi-Key / Farnell,required,"Factory-calibrated optical PM sensor with PM1/PM2.5/PM4/PM10 mass and number concentration, >10 year rated life, documented low-power duty cycling."
U2,1,SGP40 breakout,Adafruit,4829,STEMMA QT breakout 25.5 x 17.7 mm,14.00,14.00,Adafruit / Berrybase,required,SGP40 MOX VOC sensor with Sensirion's VOC Index algorithm and on-chip humidity compensation. Breakout avoids hand-soldering a 2.44 mm DFN.
U3,1,SCD41 breakout,Adafruit,5190,STEMMA QT breakout 25.5 x 17.7 mm,52.00,52.00,Adafruit / Berrybase,required,"True NDIR CO2 (photoacoustic) plus temperature and humidity, with a single-shot mode that makes 43 uA average possible at a 1 h cadence."
U4,1,TPS61023,Texas Instruments,TPS61023DRLR,SOT-563,1.60,1.60,Mouser / Digi-Key,required,"3.3 V -> 5 V boost for the SPS30 at ~92 % efficiency at 55 mA, 2 A switch so the 80 mA fan-start inrush is not close to any limit."
SW1,1,TPS22918,Texas Instruments,TPS22918DBVR,SOT-23-6,0.85,0.85,Mouser / Digi-Key,required,"Load switch on the *input* of the boost converter, so the boost quiescent current disappears completely when the SPS30 is not measuring."
SW2,1,TPS22918,Texas Instruments,TPS22918DBVR,SOT-23-6,0.85,0.85,Mouser / Digi-Key,required,"Hard power cycle for the I2C sensor rail: the only reliable recovery from a sensor that has hung the bus, and the shutdown path at critical battery."
L1,1,"2.2 uH, >=2 A sat",Murata,DFE252012F-2R2M,2520 (2.5 x 2.0 mm),0.45,0.45,Mouser,required,TPS61023 reference inductor.
C1,1,22 uF / 10 V X7R,Murata,GRM21BR71A226ME44L,0805,0.25,0.25,Mouser,required,Boost input bulk.
C2,1,47 uF / 10 V X5R,Murata,GRM21BR61A476ME15L,0805,0.35,0.35,Mouser,required,Boost output bulk; holds the rail through the SPS30 fan-start step.
